title,description,genre,duration,release_year,movie_rating
Solo: A Star Wars Story,"Board the Millennium Falcon and journey to a galaxy far, far away in an epic action-adventure that will set the course of one of the Star Wars saga's most unlikely heroes.",Action,275,2018-01-01,6.9
Batman Forever,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",Action,100,1995-01-01,5.4
Jumanji: The Next Level,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.",Action,2,2019-01-01,6.7
The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Action,220,2012-01-01,8.0
The Terminator,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",Action,6,1984-01-01,8.1
John Wick: Chapter 4,,Action,100,2023-01-01,
Strange World,The legendary Clades are a family of explorers whose differences threatened to topple their latest and most crucial mission.,Animation,100,2022-01-01,
Fury,"A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.",Action,68,2014-01-01,7.5
Ford v Ferrari,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,Action,97,2019-01-01,8.1
Spider-Man 3,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",Action,258,2007-01-01,6.2
The Tomorrow War,A family man is drafted to fight in a future war where the fate of humanity relies on his ability to confront the past.,Action,200,2021-01-01,6.5
Public Enemies,"The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson, and Pretty Boy Floyd during a booming crime wave in the 1930s.",Action,100,2009-01-01,7.0
Venom,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",Action,100,2018-01-01,6.6
Brahmastra Part One: Shiva,"This is the story of Shiva who sets out in search of love and self-discovery. During his journey, he has to face many evil forces that threaten our existence.",Action,100,2022-01-01,
War of the Worlds,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.,Action,132,2005-01-01,6.5
War of the Worlds,,Sci-Fi,100,2005-01-01,
Fantastic Four,Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.,Action,120,2015-01-01,4.3
Captain America: The First Avenger,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization.",Action,140,2011-01-01,6.9
Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",Action,102,1991-01-01,8.6
Tropic Thunder,"Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.",Action,92,2008-01-01,7.0
Star Trek,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,Action,150,2009-01-01,7.9
The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Action,135,2015-01-01,8.0
Godzilla vs. Kong,The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome Godzilla and the mighty Kong--with humanity caught in the balance.,Action,200,2021-01-01,6.3
Guardians of the Galaxy Vol. 3,Plot unknown. Third installment of the 'Guardians of the Galaxy' franchise.,Action,100,2023-01-01,
Dune: Part Two,"Duke Paul Atreides joins the Fremen and begins a spiritual and martial journey to become Muad'dib, while trying to prevent the terrible future he's witnessed: a Holy War in his name, spreading throughout the known universe.",Action,100,2023-01-01,
Collateral,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,Action,65,2004-01-01,7.5
The 355,"When a top-secret weapon falls into mercenary hands, a wild card CIA agent joins forces with three international agents on a lethal mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every move.",Action,75,2022-01-01,5.4
Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Action,1,2017-01-01,7.6
Only the Brave,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",Action,2,2017-01-01,7.6
"10,000 BC","In the prehistoric past, D'Leh is a mammoth hunter who bonds with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love.",Action,105,2008-01-01,5.1
6 Underground,"Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.",Action,150,2019-01-01,6.1
Paws of Fury: The Legend of Hank,"Hank, a loveable dog with a head full of dreams about becoming a samurai, sets off in search of his destiny.",Animation,100,2022-01-01,
The Amazing Spider-Man 2,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",Action,200,2014-01-01,6.6
